,Uniprot Number,Subcellular Location
0,P31749    ,Nucleus
1,P31749    ,Membrane
2,P31749    ,Cytoplasm
3,P31749    ,Plasma Membrane
5,P31749    ,Protein-Containing Complex
7,P31749    ,Vesicle
12,P31749    ,Cytosol
73,P31749    ,Nucleoplasm
88,P31749    ,Microtubule Cytoskeleton
90,P31749    ,Postsynapse
91,P31749    ,Ciliary Basal Body
93,P31749    ,Cell-Cell Junction
95,P31749    ,Spindle
96,P31749    ,Mitochondrion
104,P31751    ,Protein-Containing Complex
105,P31751    ,Ruffle Membrane
106,P31751    ,Cell Cortex
107,P31751    ,Plasma Membrane
109,P31751    ,Nucleus
111,P31751    ,Cytosol
115,P31751    ,Nucleoplasm
116,P31751    ,Intracellular Membrane-Bounded Organelle
122,P31751    ,Membrane
123,P31751    ,Endosome
126,P31751    ,Cytoplasm
127,P31751    ,Early Endosome
132,Q9Y243    ,Membrane
133,Q9Y243    ,Nucleus
134,Q9Y243    ,Cytoplasm
139,Q5VT25    ,Extracellular Exosome
140,Q5VT25    ,Lamellipodium
141,Q5VT25    ,Actomyosin
142,Q5VT25    ,Cell Leading Edge
143,Q5VT25    ,Cell-Cell Junction
145,Q5VT25    ,Cytoskeleton
146,Q5VT25    ,Cytoplasm
148,Q5VT25    ,Cell Projection
152,Q9Y5S2    ,Membrane
153,Q9Y5S2    ,Plasma Membrane
154,Q9Y5S2    ,Cell Junction
155,Q9Y5S2    ,Cell Projection
156,Q9Y5S2    ,Cytoplasm
158,Q9Y5S2    ,Lamellipodium
161,Q9Y5S2    ,Extracellular Exosome
162,Q9Y5S2    ,Cytoskeleton
164,Q9Y5S2    ,Actomyosin
165,Q9Y5S2    ,Cell Leading Edge
166,Q9Y5S2    ,Cell-Cell Junction
172,Q6DT37    ,Cell Leading Edge
173,Q6DT37    ,Cytoskeleton
174,Q6DT37    ,Cytoplasm
175,Q6DT37    ,Centriolar Satellite
176,Q6DT37    ,Cytosol
180,O14578    ,Cytoplasm
182,O14578    ,Membrane
183,O14578    ,Cleavage Furrow
184,O14578    ,Actin Cytoskeleton
185,O14578    ,Cytoskeleton
187,O14578    ,Cytosol
190,Q09013    ,Mitochondrion
191,Q09013    ,Nucleus
192,Q09013    ,Membrane
193,Q09013    ,Endoplasmic Reticulum
194,Q09013    ,Integral Component Of Membrane
195,Q09013    ,Sarcoplasmic Reticulum
196,Q09013    ,Plasma Membrane
197,Q09013    ,Mitochondrial Outer Membrane
198,Q09013    ,Cytoplasm
199,Q09013    ,Nuclear Outer Membrane
202,Q09013    ,Sarcoplasmic Reticulum Membrane
203,Q09013    ,Cytosol
204,Q09013    ,Endoplasmic Reticulum Membrane
205,Q09013    ,Mitochondrial Membrane
