,Substrate,control_mean,AZ20_mean,AZ20_fold_change,AZ20_p-value,AZ20_ctrlCV,AZ20_treatCV,Phosphosite,Corrected P-Value,Hypothesis Rejected?,-Log10 Corrected P-Value
8668,OSBPL1A,53561544.19,136329215.7,2.545281652,0.040716132,0.943249832,0.162371329,None,2.8293375e-06,True,5.548315244255569
3907,EPPK1,846292973.6,1305461668.0,1.5425647009999999,0.002243609,0.165741795,0.052738504000000005,S2508,2.8293375e-06,True,5.548315244255569
9301,PHRF1,121899522.8,265170054.3,2.17531659,0.30476178800000003,0.965303982,0.70625524,S814,3.0894380000000006e-05,True,4.510120515946428
5891,JCAD,42266792.22,63452473.78,1.501237034,0.407207689,0.910983035,0.230165708,S757,0.0006135195,True,3.2121716291752636
3234,DLGAP4,189103549.2,311118307.5,1.645227225,0.009255143,0.09425206800000001,0.170674408,S666,0.0006135195,True,3.2121716291752636
11727,SENP3,670294295.9,586818294.2,0.875463655,0.5399935889999999,0.22868466,0.274987475,S26,0.0006135195,True,3.2121716291752636
8655,OSBP,226084730.2,344114505.0,1.522059914,0.022315761,0.228888347,0.12311230699999999,S190,0.0006135195,True,3.2121716291752636
8847,PARD3B,1589474063.0,2139006348.0,1.34573215,0.49503201399999996,0.540508549,0.462709408,S732,0.0006135195,True,3.2121716291752636
11726,SENP3,1840528039.0,2702510671.0,1.468334421,0.46663105,0.616824618,0.573533919,S212,0.0006135195,True,3.2121716291752636
8654,OSBP,226084730.2,344114505.0,1.522059914,0.022315761,0.228888347,0.12311230699999999,M186,0.0006135195,True,3.2121716291752636
9074,PDS5B,54719728.87,30374391.44,0.555090313,0.511702179,1.001002945,0.843490981,T1370,0.0006135195,True,3.2121716291752636
3427,DSTN,1169501698.0,1142458814.0,0.9768765759999999,0.8966403359999999,0.053087022000000005,0.297631839,None,0.0006135195,True,3.2121716291752636
10861,REPS1,230463147.3,494189780.8,2.144333212,0.015778483,0.415740974,0.19847165,S162,0.0006135195,True,3.2121716291752636
2695,CPNE3,336946124.1,179057299.3,0.531412254,0.015671398,0.218388202,0.20148353300000002,None,0.0006135195,True,3.2121716291752636
5892,JMJD1C,148290853.6,140647157.5,0.948454703,0.8606434940000001,0.43977757100000003,0.22110768600000003,S1223,0.0006135195,True,3.2121716291752636
9109,PELP1,3527950133.0,2783375967.0,0.7889499179999999,0.7256528940000001,0.5998052629999999,1.004508814,S477,0.0006135195,True,3.2121716291752636
407,AKAP5,1965656536.0,1357018641.0,0.6903640670000001,0.20217342300000002,0.137139479,0.504902172,S95,0.00074727,True,3.1265224526374245
9807,PPP3R1,535314482.0,525149992.4,0.981012115,0.908020231,0.225744328,0.15635956199999998,None,0.0007988717647058824,True,3.0975229282582557
6346,KRT75,25536142487.0,20535198289.0,0.804162113,0.112199655,0.157025206,0.115286607,None,0.0007988717647058824,True,3.0975229282582557
11697,SEC62,18360476.19,82219653.46,4.478078486999999,0.037485212999999996,1.732050808,0.325608703,T375,0.0007988717647058824,True,3.0975229282582557
2629,COBLL1,11290152.12,12220775.39,1.082427877,0.9447379220000001,1.6236042830000001,1.039806976,S1146,0.0007988717647058824,True,3.0975229282582557
7333,MEX3A,1444293490.0,1516922057.0,1.050286571,0.605891238,0.072030842,0.136067069,S428,0.0007988717647058824,True,3.0975229282582557
9806,PPP3CB,26176941.28,1382481.2859999998,0.052812942,0.38073249200000003,1.732050808,1.732050808,S471,0.0007988717647058824,True,3.0975229282582557
2769,CS,45996756.2,37702246.15,0.8196718479999999,0.810061769,0.9248897770000001,1.0140830109999999,None,0.0007988717647058824,True,3.0975229282582557
489,AMPD2,1126303674.0,1129171498.0,1.002546226,0.9915297759999999,0.126267969,0.37705446,S190,0.0010258416666666667,True,2.988919665149469
3208,DKC1,208690473.0,93906156.91,0.449978169,0.235945365,0.671973905,0.595548735,S21,0.00122406075,True,2.912197027668348
3209,DKC1,158562056.6,92928208.91,0.5860683879999999,0.016458912,0.17624296600000003,0.217246335,S451,0.00122406075,True,2.912197027668348
9899,PRKAG2,222629854.1,273433824.3,1.22819927,0.431854212,0.423431451,0.164565448,S65,0.00122406075,True,2.912197027668348
7353,MFAP1,476902998.3,524537847.4,1.099883727,0.636439306,0.32196137399999997,0.11921991900000001,S133,0.0021897228571428574,True,2.6596108482786187
3775,ELL3,31990973.68,11669748.07,0.36478252200000005,0.26460016,0.832165391,0.8972499629999999,None,0.0024435502325581395,True,2.6119787286642215
1518,BUD13,604398221.2,573058041.8,0.948146473,0.797652342,0.273610702,0.204019266,T159,0.002517614,True,2.5990108550543845
4946,GSPT1,944040716.6,1234000362.0,1.307147393,0.071739876,0.16294816199999998,0.13860229300000002,None,0.0026107212765957453,True,2.583239491447
4953,GTF2F1,28709679.77,82888179.88,2.8871161410000004,0.012873065,0.627371377,0.23997705800000002,S380,0.0026107212765957453,True,2.583239491447
6297,KRT13,79410093993.0,65129560185.0,0.8201672720000001,0.23141251100000002,0.22994674199999998,0.052556425999999996,M108,0.003830847058823529,True,2.416705186266693
6302,KRT14,134927569.9,147591147.8,1.0938546359999999,0.86165001,0.720497044,0.483352599,M212,0.003830847058823529,True,2.416705186266693
6301,KRT13,426715586.4,416594101.0,0.976280488,0.876188092,0.175816516,0.185919683,S427,0.003830847058823529,True,2.416705186266693
1517,BUD13,40714298.32,98445038.58,2.417947568,0.2973905,1.3007326190000001,0.709362305,T147,0.0038488153846153853,True,2.414672920125391
7272,MED1,169856959.9,193121640.1,1.136966305,0.551671566,0.320822241,0.17300368100000002,S953,0.003971,True,2.401100112936117
1539,C15orf39,38857490.36,20182603.52,0.519400593,0.301429333,0.151136864,1.387498229,S586,0.00398544,True,2.399523724701162
8122,NEK3,3689073427.0,1952871600.0,0.5293664220000001,0.408183246,0.840048893,0.693898583,S355,0.004020637499999999,True,2.395705081049411
2821,CTIF,308205219.0,152275626.4,0.494072186,0.537859792,1.033249182,1.732050808,S72,0.00417931475409836,True,2.378894919878031
2630,COBLL1,101525337.9,244074505.7,2.404074793,0.060690673,0.543455621,0.376187647,S294,0.00417931475409836,True,2.378894919878031
4026,EVL,51672411.31,40256438.14,0.779070245,0.839619407,1.486320301,1.3273522290000002,S246,0.0042998484375,True,2.3665468523081974
743,ARHGAP25,776135.4912,23079639.26,29.73661109,0.037735515,1.732050808,0.627549653,S362,0.0042998484375,True,2.3665468523081974
3585,EFS,36822301.12,49964598.68,1.35691136,0.585458912,0.605772051,0.65265581,S319,0.00442225,True,2.354356709393791
3153,DGC14_HUMAN,945203071.5,1186599974.0,1.255391577,0.36711285200000005,0.19109498100000002,0.327683952,S395,0.0044371608695652175,True,2.3528948256224154
7307,MELK,73840000.82,119101538.9,1.612967735,0.339076371,0.7860768640000001,0.40526526399999996,S356,0.0044371608695652175,True,2.3528948256224154
4812,GON4L,15942536.89,26820661.58,1.682333355,0.554484438,1.6238837419999999,0.5730543770000001,S1255,0.0044371608695652175,True,2.3528948256224154
3063,DDX39B,9824908.697,24476361.95,2.491255919,0.513997815,1.732050808,1.323796287,S38,0.004604213513513514,True,2.336844544818388
368,AKAP11,1079558855.0,799148995.1,0.740255144,0.112119505,0.192154615,0.19825803399999997,Y424,0.004604213513513514,True,2.336844544818388
913,ARMC4,3251232965.0,3775521862.0,1.161258483,0.18906477,0.167532131,0.074538167,None,0.004955808,True,2.304885527589712
7953,NCAPD2,207721006.3,6046573.035,0.029109107000000002,0.044151947999999996,0.660449641,1.732050808,Y1325,0.004976316455696203,True,2.3030920096290086
2835,CTNND1,29024671.21,78638810.24,2.709378159,0.036298292,0.891368211,0.239618432,S47,0.004976316455696203,True,2.3030920096290086
2728,CREB3L1,388621768.7,300579675.6,0.773450434,0.589136739,0.5599187520000001,0.5168409629999999,S244,0.00536085,True,2.270766344441111
5475,HSP90AB1,68636097.63,47382336.82,0.690341358,0.554953696,0.627518151,0.847801912,S391,0.005456448148148148,True,2.2630899674800586
452,ALDOA,697988672.6,461596525.6,0.6613238060000001,0.040494767,0.160333531,0.23944998399999998,T9,0.005482850602409639,True,2.2609935876808196
7569,MPO,108963776.3,89215777.27,0.8187654679999999,0.7000243559999999,0.508160741,0.717036213,M409,0.005942317857142856,True,2.226044121312041
6102,KIAA1524,255780061.2,227245067.4,0.888439335,0.65323871,0.319278708,0.287564261,T674,0.00605460705882353,True,2.2179140371158352
2823,CTNNA1,7788649075.0,7997286676.0,1.026787393,0.8544895090000001,0.043382784,0.232214273,S641,0.006095023255813953,True,2.215024632973835
8715,OXSR1,15314443.88,27219908.92,1.7774010690000002,0.093048746,0.44786029299999996,0.284046876,S359,0.006406546666666666,True,2.193376006011367
11076,RP1L1,518493733.4,274601121.1,0.529613192,0.294683686,0.276756862,1.233983019,M1750,0.006406546666666666,True,2.193376006011367
4325,FBXO42,146144381.6,171055020.7,1.1704522529999999,0.473942472,0.156045305,0.30213417,S365,0.006406546666666666,True,2.193376006011367
10629,RB1,4120904437.0,4509904774.0,1.094396835,0.77639428,0.155642688,0.482290351,T826,0.0064581000000000005,True,2.189895234464111
2834,CTNND1,393081741.2,458398054.7,1.16616471,0.8532913109999999,1.00034414,0.947920014,S349,0.0064581000000000005,True,2.189895234464111
2833,CTNND1,3421467.818,48794621.2,14.26131234,0.3774027,1.732050808,1.68571755,S320,0.0064581000000000005,True,2.189895234464111
10865,REPS1,210378182.1,183553573.0,0.8724933890000001,0.440149516,0.16475193,0.241124466,S392,0.0064581000000000005,True,2.189895234464111
11206,RPRD2,456965396.2,456480311.0,0.9989384640000001,0.99661401,0.057008192,0.412165158,S762,0.006926734020618556,True,2.1594714884993573
1522,BZW1,432061813.1,217051309.7,0.502361706,0.12180095,0.473873062,0.133766546,None,0.007366610204081632,True,2.1327323097426634
2822,CTNNA1,72798719.5,25635142.17,0.35213726799999995,0.023626049,0.149750171,0.9685777329999999,None,0.00738606,True,2.131587168718201
6147,KIF1A,342888073.9,591439825.9,1.724877215,0.33044840000000003,0.517362309,0.618595153,S937,0.00738606,True,2.131587168718201
10338,PYCR2,543649834.2,449353410.2,0.826549337,0.310134448,0.175278415,0.250130518,S304,0.007486502941176469,True,2.125721000459555
8546,NUP210,1895925155.0,2395894802.0,1.263707481,0.12497339,0.191218728,0.13501051,S1848,0.008078148571428573,True,2.092688163649536
1727,CARD9,129183837.0,59931173.25,0.463921607,0.381899541,0.878457721,0.956780286,S460,0.008114326415094339,True,2.0907475259115857
5594,IFI16,1318486.525,3392078.3189999997,2.572706095,0.589510429,1.732050808,1.732050808,M163,0.00841703551401869,True,2.0748408404004577
7191,MCM3,1362921441.0,2049000332.0,1.503388435,0.08188521900000001,0.371961251,0.126385926,S672,0.00846788918918919,True,2.0722248337936917
8517,NUP107,1212713109.0,1437708786.0,1.1855308359999999,0.300024885,0.16453586,0.194586327,S11,0.00876755,True,2.057121748724227
3243,DLGP3_HUMAN,53275652.08,172795319.2,3.24342007,0.159628299,1.4282754619999998,0.6027342179999999,S502,0.00876755,True,2.057121748724227
7994,NCL,1204840639.0,758445241.8,0.629498389,0.178568074,0.36387300200000006,0.337429506,S184,0.008805260869565217,True,2.0552577728557737
11740,SEPT5,269490606.2,156285257.3,0.579928404,0.034185127,0.219975329,0.25945583699999997,S225,0.009304463793103448,True,2.0313086497665602
5606,IGF2BP1,3339815.0130000003,4020134.975,1.203699893,0.900687537,1.732050808,1.732050808,S438,0.009489671794871795,True,2.022748807608635
10058,PRRC2B,108020592.7,116009960.5,1.073961525,0.758541018,0.382839747,0.101733531,S1399,0.009762602542372881,True,2.010434391439578
10825,RCOR1,521009778.8,632181072.9,1.213376598,0.244233215,0.167388949,0.19141173399999997,S457,0.0098580075,True,2.0062108557686984
90,ACIN1,1602948186.0,1537789969.0,0.959351015,0.8823856529999999,0.207183587,0.42355605700000004,S478,0.009938494090909092,True,2.0026794161614907
11880,SH2B3,127411213.0,91521005.37,0.718312017,0.6350129210000001,0.781832058,0.8137599109999999,S121,0.009988952852459015,True,2.0004800367224536
8412,NSD1,130936408.6,294354394.8,2.248071396,0.017665771,0.545678326,0.170622765,S483,0.010042174731707317,True,1.9981722262641908
1718,CAPZA2,54398513.4,25923574.02,0.47654931,0.575278294,1.522530786,0.331998917,None,0.010200904913385827,True,1.9913613006441357
