Uniprot_number,Gene_name,Protein_name,Gene_aliases,Uniprot_entry
P31749,AKT1,RAC-alpha serine/threonine-protein kinase,"['AKT1', 'PKB', 'RAC']",AKT1_HUMAN
P31751,AKT2,RAC-beta serine/threonine-protein kinase,['AKT2'],AKT2_HUMAN
Q9Y243,AKT3,RAC-gamma serine/threonine-protein kinase,"['AKT3', 'PKBG']",AKT3_HUMAN
Q5VT25,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,"['CDC42BPA', 'KIAA0451']",MRCKA_HUMAN
Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,"['CDC42BPB', 'KIAA1124']",MRCKB_HUMAN
Q6DT37,CDC42BPG,Serine/threonine-protein kinase MRCK gamma,"['CDC42BPG', 'DMPK2']",MRCKG_HUMAN
O14578,CIT,Citron Rho-interacting kinase,"['CIT', 'CRIK', 'KIAA0949', 'STK21']",CTRO_HUMAN
Q09013,DMPK,Myotonin-protein kinase,"['DMPK', 'DM1PK', 'MDPK']",DMPK_HUMAN
Q15835,GRK1,Rhodopsin kinase GRK1,"['GRK1', 'RHOK']",GRK1_HUMAN
P25098,GRK2,Beta-adrenergic receptor kinase 1,"['GRK2', 'ADRBK1', 'BARK', 'BARK1']",ARBK1_HUMAN
P35626,GRK3,Beta-adrenergic receptor kinase 2,"['GRK3', 'ADRBK2', 'BARK2']",ARBK2_HUMAN
P32298,GRK4,G protein-coupled receptor kinase 4,"['GRK4', 'GPRK2L', 'GPRK4']",GRK4_HUMAN
P34947,GRK5,G protein-coupled receptor kinase 5,"['GRK5', 'GPRK5']",GRK5_HUMAN
P43250,GRK6,G protein-coupled receptor kinase 6,"['GRK6', 'GPRK6']",GRK6_HUMAN
Q8WTQ7,GRK7,Rhodopsin kinase GRK7,"['GRK7', 'GPRK7']",GRK7_HUMAN
O95835,LATS1,Serine/threonine-protein kinase LATS1,"['LATS1', 'WARTS']",LATS1_HUMAN
Q9NRM7,LATS2,Serine/threonine-protein kinase LATS2,"['LATS2', 'KPM']",LATS2_HUMAN
Q9Y2H9,MAST1,Microtubule-associated serine/threonine-protein kinase 1,"['MAST1', 'KIAA0973', 'SAST']",MAST1_HUMAN
Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2,"['MAST2', 'KIAA0807', 'MAST205']",MAST2_HUMAN
O60307,MAST3,Microtubule-associated serine/threonine-protein kinase 3,"['MAST3', 'KIAA0561']",MAST3_HUMAN
O15021,MAST4,Microtubule-associated serine/threonine-protein kinase 4,"['MAST4', 'KIAA0303']",MAST4_HUMAN
Q96GX5,MASTL,Serine/threonine-protein kinase greatwall,"['MASTL', 'GW', 'GWL', 'THC2']",GWL_HUMAN
O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,"['PDPK1', 'PDK1']",PDPK1_HUMAN
Q6A1A2,PDPK2P,Putative 3-phosphoinositide-dependent protein kinase 2,"['PDPK2P', 'PDPK2']",PDPK2_HUMAN
Q16512,PKN1,Serine/threonine-protein kinase N1,"['PKN1', 'PAK1', 'PKN', 'PRK1', 'PRKCL1']",PKN1_HUMAN
Q16513,PKN2,Serine/threonine-protein kinase N2,"['PKN2', 'PRK2', 'PRKCL2']",PKN2_HUMAN
Q6P5Z2,PKN3,Serine/threonine-protein kinase N3,"['PKN3', 'PKNBETA']",PKN3_HUMAN
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,"['PRKACA', 'PKACA']",KAPCA_HUMAN
P22694,PRKACB,cAMP-dependent protein kinase catalytic subunit beta,['PRKACB'],KAPCB_HUMAN
P22612,PRKACG,cAMP-dependent protein kinase catalytic subunit gamma,['PRKACG'],KAPCG_HUMAN
P17252,PRKCA,Protein kinase C alpha type,"['PRKCA', 'PKCA', 'PRKACA']",KPCA_HUMAN
P05771,PRKCB,Protein kinase C beta type,"['PRKCB', 'PKCB', 'PRKCB1']",KPCB_HUMAN
Q05655,PRKCD,Protein kinase C delta type,['PRKCD'],KPCD_HUMAN
Q02156,PRKCE,Protein kinase C epsilon type,"['PRKCE', 'PKCE']",KPCE_HUMAN
P05129,PRKCG,Protein kinase C gamma type,"['PRKCG', 'PKCG']",KPCG_HUMAN
P24723,PRKCH,Protein kinase C eta type,"['PRKCH', 'PKCL', 'PRKCL']",KPCL_HUMAN
P41743,PRKCI,Protein kinase C iota type,"['PRKCI', 'DXS1179E']",KPCI_HUMAN
Q04759,PRKCQ,Protein kinase C theta type,"['PRKCQ', 'PRKCT']",KPCT_HUMAN
Q05513,PRKCZ,Protein kinase C zeta type,"['PRKCZ', 'PKC2']",KPCZ_HUMAN
Q13976,PRKG1,cGMP-dependent protein kinase 1,"['PRKG1', 'PRKG1B', 'PRKGR1A', 'PRKGR1B']",KGP1_HUMAN
Q13237,PRKG2,cGMP-dependent protein kinase 2,"['PRKG2', 'PRKGR2']",KGP2_HUMAN
P51817,PRKX,cAMP-dependent protein kinase catalytic subunit PRKX,"['PRKX', 'PKX1']",PRKX_HUMAN
O43930,PRKY,Putative serine/threonine-protein kinase PRKY,['PRKY'],PRKY_HUMAN
Q13464,ROCK1,Rho-associated protein kinase 1,['ROCK1'],ROCK1_HUMAN
O75116,ROCK2,Rho-associated protein kinase 2,"['ROCK2', 'KIAA0619']",ROCK2_HUMAN
Q15418,RPS6KA1,Ribosomal protein S6 kinase alpha-1,"['RPS6KA1', 'MAPKAPK1A', 'RSK1']",KS6A1_HUMAN
Q15349,RPS6KA2,Ribosomal protein S6 kinase alpha-2,"['RPS6KA2', 'MAPKAPK1C', 'RSK3']",KS6A2_HUMAN
P51812,RPS6KA3,Ribosomal protein S6 kinase alpha-3,"['RPS6KA3', 'ISPK1', 'MAPKAPK1B', 'RSK2']",KS6A3_HUMAN
O75676,RPS6KA4,Ribosomal protein S6 kinase alpha-4,"['RPS6KA4', 'MSK2']",KS6A4_HUMAN
O75582,RPS6KA5,Ribosomal protein S6 kinase alpha-5,"['RPS6KA5', 'MSK1']",KS6A5_HUMAN
Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6,"['RPS6KA6', 'RSK4']",KS6A6_HUMAN
P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1,"['RPS6KB1', 'STK14A']",KS6B1_HUMAN
Q9UBS0,RPS6KB2,Ribosomal protein S6 kinase beta-2,"['RPS6KB2', 'STK14B']",KS6B2_HUMAN
O00141,SGK1,Serine/threonine-protein kinase Sgk1,"['SGK1', 'SGK']",SGK1_HUMAN
Q9HBY8,SGK2,Serine/threonine-protein kinase Sgk2,['SGK2'],SGK2_HUMAN
Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3,"['SGK3', 'CISK', 'SGKL']",SGK3_HUMAN
