,Gene Name,Uniprot Number,Subcellular Location
0,AAK1,Q2M2I8,Terminal Bouton
1,AAK1,Q2M2I8,Cell Leading Edge
2,AAK1,Q2M2I8,Clathrin-Coated Vesicle
3,AAK1,Q2M2I8,Extrinsic Component Of Plasma Membrane
4,AAK1,Q2M2I8,Nucleus
5,AAK1,Q2M2I8,Cytosol
22,AAK1,Q2M2I8,Membrane
23,AAK1,Q2M2I8,Cell Junction
24,AAK1,Q2M2I8,Clathrin-Coated Pit
25,AAK1,Q2M2I8,Plasma Membrane
26,AAK1,Q2M2I8,Synapse
27,AAK1,Q2M2I8,Cell Projection
30,AAK1,Q2M2I8,Presynapse
32,AATK,Q6ZMQ8,Membrane
33,AATK,Q6ZMQ8,Perinuclear Region Of Cytoplasm
34,AATK,Q6ZMQ8,Cytoplasm
37,AATK,Q6ZMQ8,Integral Component Of Membrane
39,ABL1,P00519,Postsynapse
40,ABL1,P00519,Nucleus
41,ABL1,P00519,Cytoplasm
42,ABL1,P00519,Protein-Containing Complex
43,ABL1,P00519,Neuronal Cell Body
44,ABL1,P00519,Dendrite
46,ABL1,P00519,Mitochondrion
47,ABL1,P00519,Perinuclear Region Of Cytoplasm
48,ABL1,P00519,Actin Cytoskeleton
53,ABL1,P00519,Cytosol
57,ABL1,P00519,Nucleoplasm
61,ABL1,P00519,Nucleolus
64,ABL1,P00519,Nuclear Body
66,ABL1,P00519,Cell
68,ABL1,P00519,Cell Leading Edge
74,ABL1,P00519,Membrane
76,ABL1,P00519,Cytoskeleton
77,ABL1,P00519,Nuclear Membrane
82,ABL2,P42684,Actin Cytoskeleton
83,ABL2,P42684,Cytosol
85,ABL2,P42684,Cell
86,ABL2,P42684,Cytoskeleton
87,ABL2,P42684,Cytoplasm
90,ACVR1,Q04771,Apical Part Of Cell
91,ACVR1,Q04771,Integral Component Of Plasma Membrane
92,ACVR1,Q04771,Membrane
93,ACVR1,Q04771,Integral Component Of Membrane
96,ACVR1,Q04771,Activin Receptor Complex
98,ACVR1,Q04771,Bmp Receptor Complex
99,ACVR1,Q04771,Receptor Complex
100,ACVR1,Q04771,Plasma Membrane
102,ACVR1B,P36896,Activin Receptor Complex
103,ACVR1B,P36896,Receptor Complex
104,ACVR1B,P36896,Cell Surface
105,ACVR1B,P36896,Integral Component Of Plasma Membrane
108,ACVR1B,P36896,Plasma Membrane
113,ACVR1B,P36896,Cytosol
114,ACVR1B,P36896,Membrane
115,ACVR1B,P36896,Integral Component Of Membrane
120,ACVR1C,Q8NER5,Activin Receptor Complex
122,ACVR1C,Q8NER5,Receptor Complex
123,ACVR1C,Q8NER5,Plasma Membrane
125,ACVR1C,Q8NER5,Membrane
126,ACVR1C,Q8NER5,Integral Component Of Membrane
130,ACVR2A,P27037,Cell Surface
131,ACVR2A,P27037,Membrane
132,ACVR2A,P27037,Integral Component Of Membrane
135,ACVR2A,P27037,Receptor Complex
136,ACVR2A,P27037,Integral Component Of Plasma Membrane
137,ACVR2A,P27037,Inhibin-Betaglycan-Actrii Complex
138,ACVR2A,P27037,Cytoplasm
